index,class_info,class_count
0,"[('EOSINOPHIL', (58, 42, 48, 59)), ('NEUTROPHIL', (149, 15, 32, 47)), ('NEUTROPHIL', (6, 148, 26, 51)), ('NEUTROPHIL', (33, 182, 26, 42)), ('NEUTROPHIL', (146, 158, 31, 46))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 4}"
1,"[('NEUTROPHIL', (34, 67, 36, 45)), ('NEUTROPHIL', (147, 0, 38, 36)), ('NEUTROPHIL', (27, 145, 29, 51)), ('NEUTROPHIL', (129, 122, 36, 54))]",{'NEUTROPHIL': 4}
2,"[('MONOCYTE', (120, 26, 41, 59)), ('NEUTROPHIL', (32, 28, 36, 36)), ('NEUTROPHIL', (69, 157, 34, 46)), ('NEUTROPHIL', (162, 199, 32, 25))]","{'MONOCYTE': 1, 'NEUTROPHIL': 3}"
3,"[('EOSINOPHIL', (21, 112, 38, 52)), ('NEUTROPHIL', (33, 70, 30, 42)), ('NEUTROPHIL', (118, 36, 26, 51)), ('NEUTROPHIL', (145, 70, 26, 42)), ('NEUTROPHIL', (168, 154, 34, 49))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 4}"
4,"[('NEUTROPHIL', (72, 29, 31, 49)), ('NEUTROPHIL', (165, 86, 26, 26)), ('NEUTROPHIL', (22, 146, 30, 50)), ('NEUTROPHIL', (118, 148, 26, 51)), ('NEUTROPHIL', (145, 182, 26, 42))]",{'NEUTROPHIL': 5}
5,"[('NEUTROPHIL', (39, 48, 31, 46)), ('NEUTROPHIL', (122, 88, 25, 24)), ('NEUTROPHIL', (40, 145, 31, 42)), ('NEUTROPHIL', (149, 147, 37, 40))]",{'NEUTROPHIL': 4}
6,"[('NEUTROPHIL', (44, 34, 29, 51)), ('NEUTROPHIL', (179, 23, 30, 44)), ('NEUTROPHIL', (53, 198, 26, 26)), ('NEUTROPHIL', (179, 135, 30, 44))]",{'NEUTROPHIL': 4}
7,"[('NEUTROPHIL', (22, 21, 34, 55)), ('NEUTROPHIL', (186, 54, 38, 58)), ('NEUTROPHIL', (33, 185, 34, 39)), ('NEUTROPHIL', (144, 140, 36, 36))]",{'NEUTROPHIL': 4}
8,"[('MONOCYTE', (144, 51, 31, 55)), ('NEUTROPHIL', (43, 7, 36, 40)), ('NEUTROPHIL', (43, 188, 30, 36)), ('NEUTROPHIL', (112, 117, 41, 36))]","{'MONOCYTE': 1, 'NEUTROPHIL': 3}"
9,"[('MONOCYTE', (22, 0, 46, 44)), ('NEUTROPHIL', (146, 67, 36, 45)), ('NEUTROPHIL', (29, 188, 30, 36)), ('NEUTROPHIL', (123, 112, 32, 26))]","{'MONOCYTE': 1, 'NEUTROPHIL': 3}"
10,"[('NEUTROPHIL', (10, 88, 25, 24)), ('NEUTROPHIL', (151, 48, 31, 46)), ('NEUTROPHIL', (18, 158, 34, 43)), ('NEUTROPHIL', (144, 140, 36, 36))]",{'NEUTROPHIL': 4}
11,"[('NEUTROPHIL', (36, 34, 29, 46)), ('NEUTROPHIL', (145, 70, 30, 42)), ('NEUTROPHIL', (33, 182, 30, 42)), ('NEUTROPHIL', (151, 160, 31, 46))]",{'NEUTROPHIL': 4}
12,"[('NEUTROPHIL', (46, 36, 37, 38)), ('NEUTROPHIL', (165, 86, 26, 26)), ('NEUTROPHIL', (4, 153, 33, 34)), ('NEUTROPHIL', (116, 153, 33, 34))]",{'NEUTROPHIL': 4}
13,"[('MONOCYTE', (136, 33, 42, 50)), ('MONOCYTE', (47, 195, 40, 29)), ('NEUTROPHIL', (34, 67, 36, 45)), ('NEUTROPHIL', (130, 158, 34, 43))]","{'MONOCYTE': 2, 'NEUTROPHIL': 2}"
14,"[('NEUTROPHIL', (22, 21, 34, 55)), ('NEUTROPHIL', (136, 32, 34, 39)), ('NEUTROPHIL', (0, 135, 25, 41)), ('NEUTROPHIL', (138, 171, 31, 46))]",{'NEUTROPHIL': 4}
15,"[('NEUTROPHIL', (13, 4, 40, 40)), ('NEUTROPHIL', (139, 0, 33, 35)), ('NEUTROPHIL', (36, 154, 32, 50)), ('NEUTROPHIL', (112, 182, 15, 37))]",{'NEUTROPHIL': 4}
16,"[('EOSINOPHIL', (118, 27, 57, 60)), ('EOSINOPHIL', (182, 186, 40, 38)), ('NEUTROPHIL', (11, 0, 32, 26)), ('NEUTROPHIL', (17, 122, 36, 54))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
17,"[('NEUTROPHIL', (6, 36, 26, 51)), ('NEUTROPHIL', (33, 70, 26, 42)), ('NEUTROPHIL', (116, 84, 32, 28)), ('NEUTROPHIL', (49, 190, 31, 34)), ('NEUTROPHIL', (163, 114, 31, 41))]",{'NEUTROPHIL': 5}
18,"[('EOSINOPHIL', (21, 0, 38, 52)), ('NEUTROPHIL', (122, 74, 32, 38)), ('NEUTROPHIL', (60, 139, 32, 43)), ('NEUTROPHIL', (146, 179, 36, 45))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
19,"[('MONOCYTE', (47, 83, 40, 29)), ('NEUTROPHIL', (130, 46, 34, 43)), ('NEUTROPHIL', (35, 140, 33, 49)), ('NEUTROPHIL', (184, 141, 31, 49))]","{'MONOCYTE': 1, 'NEUTROPHIL': 3}"
20,"[('EOSINOPHIL', (158, 53, 40, 59)), ('LYMPHOCYTE', (23, 171, 30, 40)), ('NEUTROPHIL', (46, 36, 37, 38)), ('NEUTROPHIL', (112, 182, 15, 37))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
21,"[('NEUTROPHIL', (4, 84, 32, 28)), ('NEUTROPHIL', (145, 73, 34, 39)), ('NEUTROPHIL', (53, 121, 38, 45)), ('NEUTROPHIL', (173, 173, 29, 41))]",{'NEUTROPHIL': 4}
22,"[('NEUTROPHIL', (36, 42, 32, 50)), ('NEUTROPHIL', (155, 76, 30, 36)), ('NEUTROPHIL', (35, 140, 33, 49)), ('NEUTROPHIL', (146, 158, 31, 46))]",{'NEUTROPHIL': 4}
23,"[('EOSINOPHIL', (182, 74, 40, 38)), ('NEUTROPHIL', (22, 21, 34, 55)), ('NEUTROPHIL', (26, 171, 31, 46)), ('NEUTROPHIL', (163, 114, 31, 41))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
24,"[('MONOCYTE', (8, 26, 41, 59)), ('NEUTROPHIL', (177, 56, 35, 42)), ('NEUTROPHIL', (37, 147, 37, 40)), ('NEUTROPHIL', (139, 112, 33, 35))]","{'MONOCYTE': 1, 'NEUTROPHIL': 3}"
25,"[('NEUTROPHIL', (24, 32, 34, 39)), ('NEUTROPHIL', (162, 90, 31, 22)), ('NEUTROPHIL', (34, 124, 35, 46)), ('NEUTROPHIL', (161, 190, 31, 34))]",{'NEUTROPHIL': 4}
26,"[('EOSINOPHIL', (21, 112, 38, 52)), ('MONOCYTE', (136, 33, 42, 50)), ('NEUTROPHIL', (23, 6, 33, 49)), ('NEUTROPHIL', (125, 116, 40, 40))]","{'EOSINOPHIL': 1, 'MONOCYTE': 1, 'NEUTROPHIL': 2}"
27,"[('LYMPHOCYTE', (130, 196, 26, 28)), ('NEUTROPHIL', (51, 2, 31, 41)), ('NEUTROPHIL', (184, 29, 31, 49)), ('NEUTROPHIL', (51, 114, 31, 41)), ('NEUTROPHIL', (147, 180, 31, 42))]","{'LYMPHOCYTE': 1, 'NEUTROPHIL': 4}"
28,"[('EOSINOPHIL', (69, 160, 35, 46)), ('LYMPHOCYTE', (31, 56, 25, 35)), ('NEUTROPHIL', (150, 25, 34, 45)), ('NEUTROPHIL', (149, 127, 32, 47))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 2}"
29,"[('NEUTROPHIL', (6, 36, 26, 51)), ('NEUTROPHIL', (33, 70, 26, 42)), ('NEUTROPHIL', (154, 0, 32, 41)), ('NEUTROPHIL', (10, 186, 32, 38)), ('NEUTROPHIL', (116, 153, 33, 34))]",{'NEUTROPHIL': 5}
30,"[('EOSINOPHIL', (179, 176, 33, 48)), ('NEUTROPHIL', (14, 70, 35, 42)), ('NEUTROPHIL', (149, 35, 37, 40)), ('NEUTROPHIL', (14, 128, 31, 44))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
31,"[('LYMPHOCYTE', (23, 171, 30, 40)), ('NEUTROPHIL', (34, 12, 35, 46)), ('NEUTROPHIL', (197, 63, 27, 45)), ('NEUTROPHIL', (162, 199, 32, 25))]","{'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
32,"[('EOSINOPHIL', (133, 112, 38, 52)), ('LYMPHOCYTE', (18, 196, 26, 28)), ('NEUTROPHIL', (17, 10, 36, 54)), ('NEUTROPHIL', (145, 70, 30, 42)), ('NEUTROPHIL', (35, 180, 31, 42))]","{'EOSINOPHIL': 1, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
33,"[('EOSINOPHIL', (6, 27, 57, 60)), ('NEUTROPHIL', (112, 53, 24, 49)), ('NEUTROPHIL', (18, 185, 32, 39)), ('NEUTROPHIL', (163, 114, 31, 41))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
34,"[('NEUTROPHIL', (85, 63, 27, 45)), ('NEUTROPHIL', (136, 32, 34, 39)), ('NEUTROPHIL', (0, 135, 25, 41)), ('NEUTROPHIL', (160, 197, 36, 27))]",{'NEUTROPHIL': 4}
35,"[('NEUTROPHIL', (33, 73, 34, 39)), ('NEUTROPHIL', (138, 16, 36, 53)), ('NEUTROPHIL', (60, 139, 32, 43)), ('NEUTROPHIL', (126, 182, 35, 42))]",{'NEUTROPHIL': 4}
36,"[('EOSINOPHIL', (158, 53, 40, 59)), ('NEUTROPHIL', (72, 29, 31, 49)), ('NEUTROPHIL', (74, 166, 38, 58)), ('NEUTROPHIL', (166, 131, 31, 38))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
37,"[('MONOCYTE', (144, 163, 31, 55)), ('NEUTROPHIL', (33, 7, 35, 47)), ('NEUTROPHIL', (138, 19, 35, 47)), ('NEUTROPHIL', (51, 114, 31, 41))]","{'MONOCYTE': 1, 'NEUTROPHIL': 3}"
38,"[('EOSINOPHIL', (70, 186, 40, 38)), ('NEUTROPHIL', (74, 54, 38, 58)), ('NEUTROPHIL', (160, 85, 36, 27)), ('NEUTROPHIL', (152, 162, 38, 48))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
39,"[('LYMPHOCYTE', (135, 171, 30, 40)), ('NEUTROPHIL', (50, 90, 31, 22)), ('NEUTROPHIL', (122, 74, 32, 38)), ('NEUTROPHIL', (0, 117, 41, 36))]","{'LYMPHOCYTE': 1, 'NEUTROPHIL': 3}"
40,"[('NEUTROPHIL', (33, 73, 34, 39)), ('NEUTROPHIL', (162, 90, 31, 22)), ('NEUTROPHIL', (40, 183, 38, 41)), ('NEUTROPHIL', (116, 153, 33, 34))]",{'NEUTROPHIL': 4}
