index,class_info,class_count
0,"[('EOSINOPHIL', (49, 21, 45, 50)), ('EOSINOPHIL', (157, 72, 36, 40)), ('EOSINOPHIL', (7, 141, 24, 30)), ('EOSINOPHIL', (116, 112, 24, 25))]",{'EOSINOPHIL': 4}
1,"[('EOSINOPHIL', (48, 158, 36, 44)), ('EOSINOPHIL', (145, 136, 40, 46)), ('MONOCYTE', (35, 30, 26, 34)), ('NEUTROPHIL', (154, 49, 37, 42))]","{'EOSINOPHIL': 2, 'MONOCYTE': 1, 'NEUTROPHIL': 1}"
2,"[('EOSINOPHIL', (26, 0, 23, 24)), ('EOSINOPHIL', (142, 0, 40, 27)), ('EOSINOPHIL', (49, 133, 45, 50)), ('LYMPHOCYTE', (140, 145, 22, 27))]","{'EOSINOPHIL': 3, 'LYMPHOCYTE': 1}"
3,"[('', (157, 21, 27, 46)), ('EOSINOPHIL', (106, 207, 6, 17)), ('EOSINOPHIL', (26, 112, 24, 23)), ('LYMPHOCYTE', (36, 43, 28, 40)), ('NEUTROPHIL', (165, 193, 27, 27))]","{'': 1, 'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
4,"[('NEUTROPHIL', (19, 2, 25, 33)), ('NEUTROPHIL', (168, 21, 34, 36)), ('NEUTROPHIL', (37, 152, 32, 41)), ('NEUTROPHIL', (144, 116, 33, 41))]",{'NEUTROPHIL': 4}
5,"[('EOSINOPHIL', (122, 15, 28, 32)), ('EOSINOPHIL', (160, 158, 36, 44)), ('NEUTROPHIL', (47, 79, 22, 32)), ('NEUTROPHIL', (22, 138, 31, 36))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
6,"[('EOSINOPHIL', (36, 14, 36, 54)), ('EOSINOPHIL', (112, 164, 19, 30)), ('LYMPHOCYTE', (156, 22, 22, 33)), ('NEUTROPHIL', (43, 132, 30, 42))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
7,"[('EOSINOPHIL', (145, 24, 40, 46)), ('EOSINOPHIL', (24, 158, 25, 31)), ('LYMPHOCYTE', (156, 162, 25, 29)), ('NEUTROPHIL', (41, 67, 33, 45))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'NEUTROPHIL': 1}"
8,"[('EOSINOPHIL', (176, 0, 28, 36)), ('EOSINOPHIL', (17, 112, 35, 41)), ('NEUTROPHIL', (33, 27, 36, 43)), ('NEUTROPHIL', (155, 132, 30, 42))]","{'EOSINOPHIL': 2, 'NEUTROPHIL': 2}"
9,"[('EOSINOPHIL', (192, 94, 32, 18)), ('EOSINOPHIL', (192, 206, 32, 18)), ('LYMPHOCYTE', (54, 167, 27, 35)), ('MONOCYTE', (16, 60, 32, 34)), ('NEUTROPHIL', (175, 30, 33, 44)), ('NEUTROPHIL', (175, 142, 33, 44))]","{'EOSINOPHIL': 2, 'LYMPHOCYTE': 1, 'MONOCYTE': 1, 'NEUTROPHIL': 2}"
10,"[('EOSINOPHIL', (4, 39, 44, 56)), ('NEUTROPHIL', (131, 2, 25, 33)), ('NEUTROPHIL', (38, 151, 31, 40)), ('NEUTROPHIL', (133, 140, 28, 39))]","{'EOSINOPHIL': 1, 'NEUTROPHIL': 3}"
